bossName,bossDifficulty,bossReqQuest,bossReqLevel,bossLevel, bossHP ,bossHPStr,bossHPperPhase,isHpRevision,bossDef,bossForce,rewardItem1,rewardItem1Name,rewardItem2,rewardItem2Name,rewardItem3,rewardItem3Name,rewardItem4,rewardItem4Name,bossPattern1,bossPattern2,bossPattern3,bossPattern4,bossTip
검은마법사,하드,아케인리버 - 테네브리스 - [리멘],255,265 ~ 275," 476,000,000,000,000 ",476조,1페이즈 : 63조 (265레벨)\\n2페이즈 : 115조 5000억 (275레벨)\\n3페이즈 : 157조 5000억 (275레벨)\\n4페이즈 : 140조 (265레벨),1,300,아케인 포스 : 1320,04001886,약 14억 메소,04001886,약 60억 메소,04001886,약 0만 메소,04001886,약 0만 메소,기본 패턴,기본 패턴,,,[모든 페이즈] 용사의 의지 스킬을 무조건 활용하세요. 데카를 아낄 수 있는 매우 훌륭한 스킬입니다.
검은마법사,익스트림,아케인리버 - 테네브리스 - [리멘],255,275 ~ 280," 5,985,000,000,000,000 ",5985조,1페이즈 : 1260조 (275레벨)\\n2페이즈 : 1470조 (280레벨)\\n3페이즈 : 1575조 (280레벨)\\n4페이즈 : 1680조 (280레벨),1,300,아케인 포스 : 1320,02636420,솔 에르다의 기운 300,02636420,솔 에르다의 기운 600,,,,,"검은 마법사의 특정 공격을 받으면 흰 색의 [창조의 저주], 또는 검은 색의 [파괴의 저주]를 받습니다. 저주는 약 6초 동안 지속됩니다\\n[창조의 저주] : 지속시간 동안 1초마다 HP/MP가 4%씩 회복되며 최종 데미지가 10% 감소, 최대 체력의 15% 피해를 주는 공격에 받을 수 있습니다.\\n[파괴의 저주] : 지속시간 동안 최종 데미지 10% 증가, 피격 데미지가 15% 증가하며 소비아이템을 사용할 수 없습니다.","검은 마법사의 특정 공격을 받으면 흰 색의 [창조의 저주], 또는 검은 색의 [파괴의 저주]를 받습니다. 저주는 약 6초 동안 지속됩니다\\n[창조의 저주] : 지속시간 동안 1초마다 HP/MP가 4%씩 회복되며 최종 데미지가 10% 감소, 최대 체력의 15% 피해를 주는 공격에 받을 수 있습니다.\\n[파괴의 저주] : 지속시간 동안 최종 데미지 10% 증가, 피격 데미지가 15% 증가하며 소비아이템을 사용할 수 없습니다.",,,"1페이즈의 경우는, 바인드 컷으로 넘어가는 경우가 일반적인 공략입니다. 만약 그렇게 할 수 없다면, 창조의 기사와 파괴의 기사 공격을 동시에 맞지 않도록 조심하세요. 특히 창조의 기사의 공격을 신경 써야 합니다."
,,,,,,,,,,,02730002,수상한 에디셔널 큐브 30개,02730002,수상한 에디셔널 큐브,,,,,저주 효과가 걸린 상태에서 다른 속성의 저주에 걸리면 가장 마지막에 걸린 저주가 적용됩니다.\\n최대 체력의 30% 피해를 받으며 데스카운트 1개를 잃고 5초 동안 스킬 봉인 상태이상에 걸립니다.,저주 효과가 걸린 상태에서 다른 속성의 저주에 걸리면 가장 마지막에 걸린 저주가 적용됩니다.\\n최대 체력의 30% 피해를 받으며 데스카운트 1개를 잃고 5초 동안 스킬 봉인 상태이상에 걸립니다.,,,"공격을 할 때, 파괴의 저주에 걸려 있다면 더 큰 피해를 줄 수 있습니다."
,,,,,,,,,,,02633923,아케인셰이드 무기 상자,02633923,아케인셰이드 무기 상자,,,,,"특정 패턴일 때 검은마법사에게 데미지를 흡수하는 보호막이 생성됩니다.\\n1페이즈 : 통곡의 장벽(40초) 발동 시 보호막 생성, 7500억의 데미지 흡수, 지속시간 15초\\n2페이즈 : 아포칼립스(72초) 발동 시 보호막 생성, 2조 2000억의 데미지 흡수, 지속시간 30초\\n3페이즈 : 창조와 파괴의 권능(약 1분) 발동 시 보호막 생성, 3조 5000억의 데미지 흡수, 사라지지 않음\\n4페이즈 : 신에 가까운 자의 권능 발동 시 보호막 생성, 3조의 데미지 흡수, 사라지지 않음","특정 패턴일 때 검은마법사에게 데미지를 흡수하는 보호막이 생성됩니다.\\n1페이즈 : 통곡의 장벽 발동 시 보호막 생성, 7500억의 데미지 흡수, 지속시간 15초\\n2페이즈 : 붉은 번개 발동 시 보호막 생성, 2조 2000억의 데미지 흡수, 지속시간 30초\\n3페이즈 : 창조와 파괴의 권능 발동 시 보호막 생성, 3조 5000억의 데미지 흡수, 사라지지 않음\\n4페이즈 : 신에 가까운 자의 권능 발동 시 보호막 생성, 3조의 데미지 흡수, 사라지지 않음",,,"[2페이즈] 바닥에서 터지는 [녹스피어] 패턴을 조심하세요. 매우 아픈 데다가, [창조] 저주까지 걸어 순식간에 2개의 데카를 잃을 수도 있습니다."
,,,,,,,,,,,02633924,아케인셰이드 방어구 상자,02633924,아케인셰이드 방어구 상자,,,,,,,,,"[2페이즈] 다크 폴링(감자) 패턴이 가장 마지막으로 떨어지는 지점에서는, 패턴이 낙하 도중에 바닥 판정을 받고 사라집니다. 끝나는 지점에 있다면 맵 구석에서 대기하면 쉽게 피할 수 있습니다."
,,,,,,,,,,,01402268,제네시스 무기,01182285,창세의 뱃지,,,,,1페이즈,1페이즈,,,"[2, 3페이즈] 모닝 스타폴(사선) 패턴이 나올 타이밍에는 맵 오른쪽으로 미리 이동하세요. 사선은 항상 오른쪽에서 왼쪽 방향으로 떨어지는데, 미리 오른쪽에 있어야 더 쉽게 패턴에 대응할 수 있습니다."
,,,,,,,,,,,04036458,검은 마법사의 편린(해방 퀘스트),02028410,백옥의 보스 반지 상자(최상급),,,,,보호막 패턴 주기 : 40초,보호막 패턴 주기 : 40초,,,"[3페이즈] 파괴의 천사 위협을 줄이며 안전하게 전투를 하기 위해선, 위치 선점이 매우 중요합니다. 소위 [주차] 라고 부릅니다. "
,,,,,,,,,,,02028410,백옥의 보스 반지 상자(최상급),02644200,악몽의 조각(몽환의 벨트 익셉셔널 강화),,,,,"다크 폴링 : [창조의 저주] 약 60초마다 운석이 수직으로 떨어집니다. 맵 기준으로 오른쪽 위에서부터 왼쪽으로, 또는 반대 방향으로 떨어지며, 피격 시 창조의 저주가 걸리며 최대 체력의 50% 피해","다크 폴링 : [창조의 저주] 약 60초마다 운석이 수직으로 떨어집니다. 맵 기준으로 오른쪽 위에서부터 왼쪽으로, 또는 반대 방향으로 떨어지며, 피격 시 창조의 저주가 걸리며 최대 체력의 50% 피해",,,"[3페이즈] 맵 왼쪽의 발판부터 1번, 맨 오른쪽이 6번이라고 봤을 때, 검은마법사의 위치는 5번 발판이 있는 지점이 좋습니다. 보스를 5번 발판의 위치에 [주차] 시키세요."
,,,,,,,,,,,01182285,창세의 뱃지,02049179,놀라운 긍정의 혼돈 주문서 60%,,,,,통곡의 장벽 : [보호막] 40초마다 맵 양쪽 끝에서부터 기둥이 올라오며 맵의 크기가 줄어듭니다. 장벽은 최대 10번 등장하고 솟아오르는 기둥에 피격 시 최대 체력의 1000% 피해를 받습니다. 장벽이 등장하면 아이온과 얄다바오트는 처음 시작 위치로 내려찍기 패턴을 시전하며 15초 동안 7500억의 보호막이 생성됩니다.,통곡의 장벽 : [보호막] 40초마다 맵 양쪽 끝에서부터 기둥이 올라오며 맵의 크기가 줄어듭니다. 장벽은 최대 10번 등장하고 솟아오르는 기둥에 피격 시 최대 체력의 1000% 피해를 받습니다. 장벽이 등장하면 아이온과 얄다바오트는 처음 시작 위치로 내려찍기 패턴을 시전하며 보호막이 생성됩니다.,,,"[3페이즈] 보스의 넉백, 소위 [뺨] 패턴은 엎드려서 피해야 합니다. 매우 위협적인 패턴이므로 항상 [뺨] 을 조심하세요."
,,,,,,,,,,,02633916,프리미엄 악세서리 공격력/마력 스크롤,02633916,프리미엄 악세서리 공격력/마력 스크롤,,,,,붉은 번개 : 20초 동안 지속되는 붉은 번개가 일정 간격으로 생성됩니다.\\n최대 체력의 99% 피해,붉은 번개 : 20초 동안 지속되는 붉은 번개가 일정 간격으로 생성됩니다.\\n최대 체력의 99% 피해,,,"[3페이즈] 창조의 권능 공격을 받을 때, 무적기가 없다면 발판 아래로 엄폐하세요. 1번과 6번 발판이 가장 엄폐하기 좋습니다."
