bossName,bossDifficulty,bossReqQuest,bossReqLevel,bossLevel, bossHP ,bossHPStr,bossHPperPhase,isHpRevision,bossDef,bossForce,rewardItem1,rewardItem1Name,rewardItem2,rewardItem2Name,rewardItem3,rewardItem3Name,rewardItem4,rewardItem4Name,bossPattern1,bossPattern2,bossPattern3,bossPattern4,bossTip
블러디퀸,노말,퀘스트 전구 - [루타비스],125,120," 315,000,000 ",3억 1500만,0,1,50,아케인/어센틱 없음,04001886,약 50만 메소,04001928,약 900만 메소,,,,,"분노의 얼굴 : 할퀴기에 피격 시 시야가 좁아집니다. 블러디퀸이 숨을 들이마신 뒤 불을 뿜습니다.\\n최대 체력의 5% + 방어력에 따른 추가 피해, 피격당하는 파티원이 많을수록 데미지가 분산됨","분노의 얼굴 : 할퀴기에 피격 시\\n최대 체력의 30% 피해, 시야가 좁아집니다.",,,"할퀴기 공격은 많은 피해를 줄 뿐더러, 전투에 치명적인 상태이상을 겁니다. 가능하다면 할퀴기 공격을 주의하면서, 뒤로 조금씩 빠지며 공격하세요."
블러디퀸,카오스,퀘스트 전구 - [루타비스],180,190," 140,000,000,000 ",1400억,0,1,120,아케인/어센틱 없음,02000004,엘릭서,02000005,파워 엘릭서,,,,,"유혹의 얼굴 : 할퀴기에 피격 시 스킬 봉인 상태가 됩니다. 블러디퀸이 거울을 소환합니다. 거울을 깨지 않으면 유혹 상태에 걸리며 거울이 있는곳으로 걸어갑니다.\\n거울에 닿으면 즉사, 블러디퀸이 HP를 회복함",분노의 얼굴 : 블러디퀸이 플레이어에게 불을 붙입니다. 이 불은 죽을때까지 지속 피해를 입히고 최대 3번까지 중첩됩니다. 주변에 있는 아군에게도 데미지를 입힙니다. 블러디퀸의 화염 폭풍에 맞으면 불이 제거됩니다.,,,"[분노] 불 뿜기 패턴의 범위는 상당히 넓습니다. 빠르게 퀸의 반대편으로 넘어가거나, 공간이 충분하다면 멀리 떨어지세요."
,,,,,,,,,,,01003717,퀸의 티아라,01003717,카오스 퀸의 티아라,,,,,슬픔의 얼굴 : 할퀴기에 피격 시 독에 중독되어 도트 피해를 받습니다. 블러디퀸이 공격 반사 버프를 사용합니다.,"분노의 얼굴 : 화염 폭풍 - 블러디퀸이 숨을 들이마신 뒤 불을 뿜습니다. 피격 시 지속 데미지를 입히던 불이 사라지며 최대 체력의 45% + 방어력에 따른 추가 피해, 피격당하는 파티원이 많을수록 데미지가 분산됨",,,"[분노] 얼굴일 땐 불 뿜기에 대응하기 쉬운, '적당히 가까운 거리' 가 있습니다."
,,,,,,,,,,,03010514,무서워요 퀸 의자,02434586,절규의 조각(루타비스 모자),,,,,희열의 얼굴 : 할퀴기에 피격 시 혼란 상태가 됩니다. 블러디퀸이 특정 지역을 황폐화 시키며 모든 생명체를 빨아들입니다. 범위 안에 있을 경우 1800의 고정 피해,유혹의 얼굴 : 할퀴기에 피격 시\\n최대 체력의 30% 피해를 받으며 스킬 봉인 상태가 됩니다.,,,"[유혹] 거울이 소환되었다면, 거울의 위치를 보고, 빠르게 접근해서 부수세요. 거울로 인해 사망하면 퀸의 체력이 회복됩니다."
,,,,,,,,,,,,,,,,,,,,"유혹의 얼굴 : 블러디퀸이 거울을 소환합니다. 거울을 깨지 않으면 유혹 상태에 걸리며 거울이 있는 곳으로 걸어갑니다.\\n거울에 닿으면 즉사, 블러디퀸이 HP를 회복함(거울 HP : 5억 5000만)",,,"[카오스 난이도] 불 붙이기 패턴으로, 플레이어는 계속 피해를 입을 수밖에 없습니다. 물약이나 스킬 등으로 회복을 멈추기 어렵습니다."
,,,,,,,,,,,,,,,,,,,,유혹의 얼굴 : 블러디퀸이 바닥에 하트를 소환합니다. 하트는 위로 떠오릅니다.\\n최대 체력의 약 33% 피해를 받으며 넉백,,,"[카오스 난이도] [희열] 흡수 패턴은 [청소기] 라고 부르기도 합니다. 퀸 뒤쪽에 있어도 청소기로 인해 끌어당겨지지만, 죽지는 않습니다."
,,,,,,,,,,,,,,,,,,,,"슬픔의 얼굴 : 할퀴기에 피격 시\\n최대 체력의 30% 피해, 독에 중독되어 도트 데미지를 받습니다.",,,"[카오스 난이도] [슬픔] 특수 언데드는 [용사의 의지] 스킬로 풀 수 있습니다. 불에 붙어서 데미지를 입고 있는 상황이라면, [용사의 의지] 로 상태이상을 해제하세요."
,,,,,,,,,,,,,,,,,,,,슬픔의 얼굴 : 블러디퀸이 공격 반사 버프를 사용합니다.,,,
,,,,,,,,,,,,,,,,,,,,슬픔의 얼굴 : 블러디퀸이 특수 언데드 상태이상을 겁니다. 특수 언데드 상태가 되면 힐과 회복 물약에도 데미지를 받게 됩니다.,,,
,,,,,,,,,,,,,,,,,,,,"희열의 얼굴 : 할퀴기에 피격 시\\n최대 체력의 30% 피해, 혼란 상태가 됩니다.",,,
,,,,,,,,,,,,,,,,,,,,희열의 얼굴 : 블러디퀸이 특정 지역을 황폐화 시키며 모든 생명체를 빨아들입니다. 범위 안에 있을 경우 3000의 지속 데미지,,,
,,,,,,,,,,,,,,,,,,,,희열의 얼굴 : 블러디퀸이 모든 것을 흡수해 먹어 삼키려 합니다. 블러디퀸의 흡수에 닿으면 즉사,,,
