bossName,bossDifficulty,bossReqQuest,bossReqLevel,bossLevel, bossHP ,bossHPStr,bossHPperPhase,isHpRevision,bossDef,bossForce,rewardItem1,rewardItem1Name,rewardItem2,rewardItem2Name,rewardItem3,rewardItem3Name,rewardItem4,rewardItem4Name,bossPattern1,bossPattern2,bossPattern3,bossPattern4,bossTip
데미안,노말,없음,190,210," 1,200,000,000,000 ",1조 2000억,0,1,300,아케인/어센틱 없음,04001928,약 3300만 메소,04001928,약 1억 1000만 메소,04001886,약 0만 메소,04001886,약 0만 메소,1페이즈(HP 100% ~ 30%),1페이즈(HP 100% ~ 30%),,,"데미안의 공격 패턴은 즉사 피해를 입히는 공격이 많지 않지만, 핵심은 [낙인] 입니다. 낙인으로 인한 사망을 조심해야 합니다."
데미안,하드,없음,190,210," 36,000,000,000,000 ",36조,0,1,300,아케인/어센틱 없음,04001869,뒤틀린 낙인의 영혼석,02636420,솔 에르다의 기운 50,,,,,"낙인 : 데미안이 약 28초마다 자신에게 위협을 가장 많이 가한 사람, 낙인이 제일 많은 사람, 낙인이 제일 적은 사람 중 한명에게 낙인을 겁니다. 낙인은 7개가 모이면 사망하며 데미안에게 HP회복, 공격력 증가 버프를 주며 맵을 돌아다니는 검이 추가됩니다. 맵에 나타나는 세계수의 제단에서 NPC/대화 키를 꾹 눌러 없앨 수 있습니다.","낙인 : 데미안이 약 28초마다 자신에게 위협을 가장 많이 가한 사람, 낙인이 제일 많은 사람, 낙인이 제일 적은 사람 중 한명에게 낙인을 겁니다. 낙인은 7개가 모이면 사망하며 데미안에게 HP회복, 공격력 증가 버프를 주며 맵을 돌아다니는 검이 추가됩니다. 맵에 나타나는 세계수의 제단에서 NPC/대화 키를 꾹 눌러 없앨 수 있습니다.",,,"제단에 접근해서 낙인을 풀 때, 검을 조심하세요. 검이 곧 자신에게 꽂힐 것 같다면, 잠깐 바깥으로 빠져 검이 꽂히길 기다렸다가 제단을 푸는 선택도 할만합니다."
,,,,,,,,,,,01099015,루인 포스실드,04001869,뒤틀린 낙인의 영혼석,,,,,"속박 : 검푸른 색의 구체가 나타나고, 일정 시간 뒤에 검은 손이 내려와 밑에 있는 캐릭터를 잡아챕니다. 방향키를 정해진 순서대로 눌러 탈출할 수 있으며, 방향키를 틀릴 경우 행동 불가","속박 : 검푸른 색의 구체가 나타나고, 일정 시간 뒤에 검은 손이 내려와 밑에 있는 캐릭터를 잡아챕니다. 방향키를 정해진 순서대로 눌러 탈출할 수 있으며, 방향키를 틀릴 경우 행동 불가",,,데미안의 패턴 판정은 눈에 보이는 것보다 오래 남습니다. 공격 패턴이 끝나도 잠깐 기다렸다가 진입하세요.
,,,,,,,,,,,02048716,강력한 환생의 불꽃,02633912,앱솔랩스 무기 상자,,,,,"찍기 : 데미안이 하늘 위로 올라가 보고 있던 방향으로 하강하며 검으로 내려찍습니다. 피격 시 넉백, 낙인이 하나 추가됨","찍기 : 데미안이 하늘 위로 올라가 보고 있던 방향으로 하강하며 검으로 내려찍습니다. 피격 시 넉백, 낙인이 하나 추가됨",,,
,,,,,,,,,,,02633920,추가 경험치 50% 쿠폰,02633913,앱솔랩스 방어구 상자,,,,,칼 : 데미안의 검이 돌아다닙니다.\\n최대 체력의 20% 피해,칼 : 데미안의 검이 돌아다닙니다.\\n최대 체력의 20% 피해,,,
,,,,,,,,,,,02003607,소형 경험 축적의 비약,01099015,루인 포스실드,,,,,"칼 꽂기 : 데미안의 검이 돌아다니다가 플레이어의 위치에 꽂히며, 일정 시간동안 검 주변에 폭발이 일어납니다.\\n폭발 : 최대 HP의 90% 피해","칼 꽂기 : 데미안의 검이 돌아다니다가 플레이어의 위치에 꽂히며, 일정 시간동안 검 주변에 폭발이 일어납니다.\\n폭발 : 최대 HP의 90% 피해",,,
,,,,,,,,,,,02003587,반짝이는 빨간 별 물약,01022278,마력이 깃든 안대,,,,,돌진 : 데미안이 돌진합니다. 피격 시 넉백되며 낙인이 추가됩니다.,돌진 : 데미안이 돌진합니다. 피격 시 넉백되며 낙인이 추가됩니다.,,,
,,,,,,,,,,,02003586,반짝이는 파란 별 물약,02048767,검은 환생의 불꽃,,,,,데미안이 공중으로 올라가 노란색의 구체를 부채꼴 범위로 난사합니다.\\n최대 체력의 90% 피해,데미안이 공중으로 올라가 노란색의 구체를 부채꼴 범위로 난사합니다.\\n최대 체력의 90% 피해,,,
,,,,,,,,,,,02633892,대형 보스 명예의 훈장,04023027,영원히 꺼지지 않는 검은 불꽃,,,,,랜덤 위치에 암흑 마법진이 생깁니다. 잠시 후 폭발하며 피격\\n즉사 피해,랜덤 위치에 암흑 마법진이 생깁니다. 잠시 후 폭발하며 피격\\n즉사 피해,,,
,,,,,,,,,,,02028407,녹옥의 보스 반지 상자(하급),02633919,악세서리 공격력/마력 스크롤,,,,,"각성 : 낙인으로 인한 사망 횟수가 7번이 되면, 데미안의 체력이 100%로 회복되고 2페이즈로 진입합니다.","각성 : 낙인으로 인한 사망 횟수가 7번이 되면, 데미안의 체력이 100%로 회복되고 2페이즈로 진입합니다.",,,
,,,,,,,,,,,,,02049179,놀라운 긍정의 혼돈 주문서 60%,,,,,,,,,
,,,,,,,,,,,,,02028408,홍옥의 보스 반지 상자(중급),,,,,2페이즈(HP 30% ~ 0%),2페이즈(HP 30% ~ 0%),,,
,,,,,,,,,,,,,,,,,,,돌진 : 데미안이 빠르게 먼 거리를 돌진합니다. 피격 시 넉백되며 낙인이 추가됩니다.,돌진 : 데미안이 빠르게 먼 거리를 돌진합니다. 피격 시 넉백되며 낙인이 추가됩니다.,,,
,,,,,,,,,,,,,,,,,,,"속박 : 검푸른 색의 구체가 나타나고, 일정 시간 뒤에 검은 손이 내려와 밑에 있는 캐릭터를 잡아챕니다. 방향키를 정해진 순서대로 눌러 탈출할 수 있으며, 방향키를 틀릴 경우 행동 불가","속박 : 검푸른 색의 구체가 나타나고, 일정 시간 뒤에 검은 손이 내려와 밑에 있는 캐릭터를 잡아챕니다. 방향키를 정해진 순서대로 눌러 탈출할 수 있으며, 방향키를 틀릴 경우 행동 불가",,,
