bossName,bossDifficulty,bossReqQuest,bossReqLevel,bossLevel, bossHP ,bossHPStr,bossHPperPhase,isHpRevision,bossDef,bossForce,rewardItem1,rewardItem1Name,rewardItem2,rewardItem2Name,rewardItem3,rewardItem3Name,rewardItem4,rewardItem4Name,bossPattern1,bossPattern2,bossPattern3,bossPattern4,bossTip
시그너스,이지,없음,140,140," 10,500,000,000 ",105억,0,1,100,아케인/어센틱 없음,04001886,약 500만 메소,04001886,약 800만 메소,04001886,약 0만 메소,04001886,약 0만 메소,시그너스가 검은 구체를 발사합니다.\\n최대 체력의 40% 피해,시그너스가 검은 구체를 발사합니다.\\n최대 체력의 40% 피해,,,회오리 패턴에 주의하세요. 공격에 맞고 행동 불가 상태일 때 시그너스가 제네시스를 사용하면 피할 수 없습니다.
시그너스,노말,시간의 신전 - [미래의 문] - [시그너스의 정원],170,190," 63,000,000,000 ",630억,0,1,100,아케인/어센틱 없음,02000005,파워 엘릭서,02000005,파워 엘릭서,,,,,모든 위치에 다크 제네시스를 사용합니다.\\n최대 체력의 90% 피해,모든 위치에 다크 제네시스를 사용합니다.\\n최대 체력의 90% 피해,,,여제의 공격 반사는 공격한 플레이어에게 반사할 뿐만 아니라 파티원 중에서 최대 체력이 가장 낮은 파티원도 함께 피해를 입습니다.
,,,,,,,,,,,02434589,검은 수호의 조각(여제 방어구),02434589,검은 수호의 조각(여제 방어구),,,,,랜덤한 위치에 다크 제네시스를 사용합니다.\\n즉사 피해,랜덤한 위치에 다크 제네시스를 사용합니다.\\n즉사 피해,,,미하일도 공격 반사 버프를 사용합니다. 미하일을 상대할 때 공격 반사를 조심하세요.
,,,,,,,,,,,02434588,검은 파괴의 조각(여제 무기),02434588,검은 파괴의 조각(여제 무기),,,,,시그너스가 플레이어를 리본돼지로 변신시킵니다.,시그너스가 플레이어를 리본돼지로 변신시킵니다.,,,
,,,,,,,,,,,,,01152108,여제 견장,,,,,랜덤한 위치에 여러 개의 회오리를 발사합니다. 회오리에 피격 시 지속 데미지를 받으며 행동 불가 상태가 됩니다.,랜덤한 위치에 여러 개의 회오리를 발사합니다. 회오리에 피격 시 지속 데미지를 받으며 행동 불가 상태가 됩니다.,,,
,,,,,,,,,,,,,,,,,,,"공격 반사 버프를 사용합니다.(지속시간 20초, 재사용 대기시간 80초)","공격 반사 버프를 사용합니다.(지속시간 20초, 재사용 대기시간 80초)",,,
,,,,,,,,,,,,,,,,,,,"언데드 상태이상을 사용합니다. 회복 아이템 효과가 반감되고, 힐에 데미지를 받습니다.","언데드 상태이상을 사용합니다. 회복 아이템 효과가 반감되고, 힐에 데미지를 받습니다.",,,
,,,,,,,,,,,,,,,,,,,파티원 중 한명을 상급 기사들이 있는 정원으로 추방시킵니다. 추방 맵에 있는 상급 기사를 모두 잡아야 나올 수 있습니다.,파티원 중 한명을 상급 기사들이 있는 정원으로 추방시킵니다. 추방 맵에 있는 상급 기사를 모두 잡아야 나올 수 있습니다.,,,
,,,,,,,,,,,,,,,,,,,"신수를 소환합니다. 신수는 시그너스에게 무적 버프를 걸어주며 지속적으로 몬스터들의 체력을 회복시킵니다.\\nHP : 400,000,000 (4억)","신수를 소환합니다. 신수는 시그너스에게 무적 버프를 걸어주며 지속적으로 몬스터들의 체력을 회복시킵니다.\\nHP : 2,100,000,000 (21억)",,,
,,,,,,,,,,,,,,,,,,,"기사단장과 상급 기사들을 소환합니다.\\n기사단장 HP : 1,050,000,000 (10억 5000만)\\n상급기사 HP : 250,000,000 (2억 5000만)","기사단장과 상급 기사들을 소환합니다.\\n기사단장 HP : 2,100,000,000 (21억)\\n상급기사 HP : 250,000,000 (2억 5000만)",,,
,,,,,,,,,,,,,,,,,,,시그너스의 체력이 약 10% 남았을 때 : 각성 기사단장 패턴을 사용합니다. 모든 기사단장을 다시 소환합니다.,,,,
