bossName,bossDifficulty,bossReqQuest,bossReqLevel,bossLevel, bossHP ,bossHPStr,bossHPperPhase,isHpRevision,bossDef,bossForce,rewardItem1,rewardItem1Name,rewardItem2,rewardItem2Name,rewardItem3,rewardItem3Name,rewardItem4,rewardItem4Name,bossPattern1,bossPattern2,bossPattern3,bossPattern4,bossTip
루시드,이지,아케인리버 - [레헬른],220,230," 12,000,000,000,000 ",12조,1페이즈 : 6조\\n2페이즈 : 6조,1,300,아케인 포스 : 360,04001928,약 5000만 메소,04001928,약 5800만 메소,04001928,약 1억 3000만 메소,04001886,약 0만 메소,1페이즈,1페이즈,1페이즈,,"[1페이즈] 소환수 공격을 피할 때, 맵 구석으로 이동할 수 없거나 위치 파악이 너무 늦었다면, 공중으로 높이 뛰어 체공으로 피하세요."
루시드,노말,아케인리버 - [레헬른],220,230," 24,000,000,000,000 ",24조,1페이즈 : 12조\\n2페이즈 : 12조,1,300,아케인 포스 : 360,02048716,강력한 환생의 불꽃,01012757,트와일라이트 마크,02636420,솔 에르다의 기운 50,,,"맵에 직선형으로 꽃이 피고, 폭발합니다.\\n최대 체력의 20% 피해","맵에 직선형으로 꽃이 피고, 폭발합니다.\\n최대 체력의 30% 피해","맵에 직선형으로 꽃이 피고, 폭발합니다.\\n최대 체력의 30% 피해",,"[1페이즈] 사망 원인의 대부분은 골렘 낙하로 인한 피해일 것입니다. 루시드가 어떤 행동을 할 때, 자신의 머리 위를 보면서 골렘의 낙하를 조심하세요."
루시드,하드,아케인리버 - [레헬른],220,230," 116,950,900,000,000 ",116조 9509억,1페이즈 : 50조 800억\\n2페이즈 : 54조\\n3페이즈 : 12조 8709억,1,300,아케인 포스 : 360,02048717,영원한 환생의 불꽃,04001879,나비날개 물방울석,01012757,트와일라이트 마크,,,루시드가 푸른 나비를 소환합니다. 푸른 나비는 주위에 꽃가루 탄막을 발사합니다.\\n최대 체력의 20% 피해,루시드가 푸른 나비를 소환합니다. 푸른 나비는 주위에 꽃가루 탄막을 발사합니다.\\n최대 체력의 20% 피해,루시드가 푸른 나비를 소환합니다. 푸른 나비는 주위에 꽃가루 탄막을 발사합니다.\\n최대 체력의 20% 피해,,"[1페이즈] 맵에 골렘이 많을수록, 루시드를 상대하기 더 어려워집니다. 가끔은 잡몹 처리를 우선으로 해야 할 때도 있습니다."
,,,,,,,,,,,02633920,추가 경험치 50% 쿠폰,02048716,강력한 환생의 불꽃,01132308,몽환의 벨트,,,루시드가 바람 칼날을 발사합니다.\\n최대 체력의 30% 피해,루시드가 바람 칼날을 발사합니다.\\n최대 체력의 30% 피해,루시드가 바람 칼날을 발사합니다.\\n최대 체력의 30% 피해,,"[2페이즈] 극딜을 할 때, 또는 하드 난이도일 때 발판 아래로 떨어지지 않게 조심하세요. 딜량 누수가 발생하거나, 데스카운트가 위험해질 수 있습니다."
,,,,,,,,,,,02003607,소형 경험 축적의 비약,02048717,영원한 환생의 불꽃,02633923,아케인셰이드 무기 상자,,,"길을 막는 악몽의 골렘을 소환합니다. 악몽의 골렘이 길을 막고, 지나가려고 하면 최대 체력의 50% 피해를 받습니다.\\n골렘 HP : 650억","길을 막는 악몽의 골렘을 소환합니다. 악몽의 골렘이 길을 막고, 지나가려고 하면 최대 체력의 70% 피해를 받습니다.\\n골렘 HP : 1500억","길을 막는 악몽의 골렘을 소환합니다. 악몽의 골렘이 길을 막고, 지나가려고 하면 최대 체력의 70% 피해를 받습니다.\\n골렘 HP : 6000억",,"[2페이즈] 루시드의 바람 칼날을 조심하세요. 만약 칼날이 겹쳐 나온다면, 매우 큰 피해를 입게 됩니다."
,,,,,,,,,,,02003587,반짝이는 빨간 별 물약,02633920,추가 경험치 50% 쿠폰,02633924,아케인셰이드 방어구 상자,,,느린 속도로 이동하는 악몽의 독버섯을 소환합니다. 몬스터와 부딪히면 최대 체력의 50% 피해를 받습니다.\\n독버섯 HP : 650억,느린 속도로 이동하는 악몽의 독버섯을 소환합니다. 몬스터와 부딪히면 최대 체력의 50% 피해를 받습니다.\\n독버섯 HP : 1500억,느린 속도로 이동하는 악몽의 독버섯을 소환합니다. 몬스터와 부딪히면 최대 체력의 50% 피해를 받습니다.\\n독버섯 HP : 6000억,,"[2페이즈] 레이저 패턴에 대응할 때, 너무 빠르게 움직이지 않아도 됩니다. 걷는 동작만으로 피할 수도 있습니다."
,,,,,,,,,,,02003586,반짝이는 파란 별 물약,02003607,소형 경험 축적의 비약,02048717,영원한 환생의 불꽃,,,엄청난 크기의 소환수가 맵 양쪽 끝 중 한 곳에서 나타나 맵 전체에 즉사공격을 합니다. 소환수의 뒤쪽으로 넘어가면 회피 가능,엄청난 크기의 소환수가 맵 양쪽 끝 중 한 곳에서 나타나 맵 전체에 즉사공격을 합니다. 소환수의 뒤쪽으로 넘어가면 회피 가능,엄청난 크기의 소환수가 맵 양쪽 끝 중 한 곳에서 나타나 맵 전체에 즉사공격을 합니다. 소환수의 뒤쪽으로 넘어가면 회피 가능,,"[2페이즈] 질주(몸박) 패턴 때, 루시드가 이동하지 않는 지역이 있습니다. 예를 들어, 오른쪽 맨 아래 발판은 가만히 서 있어도 안전합니다."
,,,,,,,,,,,02633892,대형 보스 명예의 훈장,02003587,반짝이는 빨간 별 물약,02048767,검은 환생의 불꽃,,,"맵의 배경에 나비가 점점 쌓이고, 일정량 쌓일 경우 맵 전체의 나비가 투사체로 변해 빠른 속도로 날아옵니다.\\n투사체 1개 당 최대 체력의 20% 피해, 투사체가 매우 많이 날아오므로 사실상 즉사\\n루시드의 체력이 한 줄 깎이면 나팔 석상이 활성화됩니다. NPC/대화 키를 사용하면 쌓여있던 나비가 모두 사라집니다.","맵의 배경에 나비가 점점 쌓이고, 일정량 쌓일 경우 맵 전체의 나비가 투사체로 변해 빠른 속도로 날아옵니다.\\n투사체 1개 당 최대 체력의 20% 피해, 투사체가 매우 많이 날아오므로 사실상 즉사\\n루시드의 체력이 한 줄 깎이면 나팔 석상이 활성화됩니다. NPC/대화 키를 사용하면 쌓여있던 나비가 모두 사라집니다.","맵의 배경에 나비가 점점 쌓이고, 일정량 쌓일 경우 맵 전체의 나비가 투사체로 변해 빠른 속도로 날아옵니다.\\n투사체 1개 당 최대 체력의 20% 피해, 투사체가 매우 많이 날아오므로 사실상 즉사\\n루시드의 체력이 한 줄 깎이면 나팔 석상이 활성화됩니다. NPC/대화 키를 사용하면 쌓여있던 나비가 모두 사라집니다.",,[3페이즈] 하드 난이도에만 있는 페이즈입니다. 약 40초 이내에 14조 정도의 피해를 입혀야 합니다.
,,,,,,,,,,,02028407,녹옥의 보스 반지 상자(하급),02003586,반짝이는 파란 별 물약,04023027,영원히 꺼지지 않는 검은 불꽃,,,루시드의 손에 파란 에너지가 나타나며 즉시 캐릭터를 다른 위치로 순간이동 시킵니다.,루시드의 손에 파란 에너지가 나타나며 즉시 캐릭터를 다른 위치로 순간이동 시킵니다.,루시드의 손에 파란 에너지가 나타나며 즉시 캐릭터를 다른 위치로 순간이동 시킵니다.,,
,,,,,,,,,,,,,02633892,대형 보스 명예의 훈장,02028408,홍옥의 보스 반지 상자(중급),,,"플레이어에게 나비 폭탄을 붙입니다. 폭탄은 10초 뒤 폭발하며 최대 체력의 160% 데미지를 받습니다. 파티원이 함께 맞으면 인원 수 만큼 데미지가 분산됩니다.\\n패턴이 시전되면 맵에 '루시드의 추억이 담긴 꿈' 이 생성되고, 꿈 근처에 혼자 있으면 폭탄 데미지를 절반만 받습니다.","플레이어에게 나비 폭탄을 붙입니다. 폭탄은 10초 뒤 폭발하며 최대 체력의 160% 데미지를 받습니다. 파티원이 함께 맞으면 인원 수 만큼 데미지가 분산됩니다.\\n패턴이 시전되면 맵에 '루시드의 추억이 담긴 꿈' 이 생성되고, 꿈 근처에 혼자 있으면 폭탄 데미지를 절반만 받습니다.","플레이어에게 나비 폭탄을 붙입니다. 폭탄은 10초 뒤 폭발하며 최대 체력의 160% 데미지를 받습니다. 파티원이 함께 맞으면 인원 수 만큼 데미지가 분산됩니다.\\n패턴이 시전되면 맵에 '루시드의 추억이 담긴 꿈' 이 생성되고, 꿈 근처에 혼자 있으면 폭탄 데미지를 절반만 받습니다.",,
