bossName,bossDifficulty,bossReqQuest,bossReqLevel,bossLevel, bossHP ,bossHPStr,bossHPperPhase,isHpRevision,bossDef,bossForce,rewardItem1,rewardItem1Name,rewardItem2,rewardItem2Name,rewardItem3,rewardItem3Name,rewardItem4,rewardItem4Name,bossPattern1,bossPattern2,bossPattern3,bossPattern4,bossTip
가디언 엔젤 슬라임,노말,빅토리아 아일랜드 - [라무라무],210,220," 5,000,000,000,000 ",5조 (1분 당 500억 회복),0,1,300,아케인/어센틱 없음,04001886,약 4500만 메소,04001886,약 1억 5000만 메소,04001886,약 0만 메소,04001886,약 0만 메소,2개의 체력이 있습니다.\\n연두색 체력은 본체 체력입니다. 이 체력이 0이 되면 보스는 죽습니다. '겉피' 라고도 부릅니다.\\n녹색 체력은 '회복 가능한 체력의 최대치' 입니다. 슬라임은 60초마다 체력을 500억(1%) 회복합니다. '속피' 라고도 부릅니다.\\n'속피' 는 보스가 패턴에 의한 그로기 상태일 때만 깎을 수 있습니다.,2개의 체력이 있습니다.\\n연두색 체력은 본체 체력입니다. 이 체력이 0이 되면 보스는 죽습니다. '겉피' 라고도 부릅니다.\\n녹색 체력은 '회복 가능한 체력의 최대치' 입니다. 슬라임은 60초마다 체력을 9000억(1%) 회복합니다. '속피' 라고도 부릅니다.\\n'속피' 는 보스가 패턴에 의한 그로기 상태일 때만 깎을 수 있습니다.,,,"2층에 생성된 마그마 슬라임의 대부분은, 어느 방향으로 날리든 빨강/파랑 포탈을 막을 수 있습니다."
가디언 엔젤 슬라임,카오스,빅토리아 아일랜드 - [라무라무],210,250," 90,000,000,000,000 ",90조 (1분 당 9000억 회복),0,1,300,아케인/어센틱 없음,01113313,가디언 엔젤 링,02636420,솔 에르다의 기운 70,,,,,가디언 엔젤 슬라임의 받는 데미지가 15% 감소합니다.,가디언 엔젤 슬라임의 받는 데미지가 15% 감소합니다.,,,"홀리 게이트를 특정 개수만큼만 막을 수 있다는 설명이 나오면, 다음 웨이브에는 반드시 금색 슬라임이 나온다는 의미입니다. 이 땐 홀리 게이트를 막지 않아도 됩니다."
,,,,,,,,,,,02028407,녹옥의 보스 반지 상자(하급),01113313,가디언 엔젤 링,,,,,플레이어의 위치로 텔레포트 합니다.,플레이어의 위치로 텔레포트 합니다.,,,"생존이 어렵다면, 슬라임과 항상 다른 발판으로 멀리 떨어지세요."
,,,,,,,,,,,02048716,강력한 환생의 불꽃,02048717,영원한 환생의 불꽃,,,,,"슬라임이 뛰어올라, 바닥을 내려찍습니다. 내려찍을 때 슬라임과 같은 발판 바닥에 서 있을 경우\\n즉사 피해","슬라임이 뛰어올라, 바닥을 내려찍습니다. 내려찍을 때 슬라임과 같은 발판 바닥에 서 있을 경우\\n즉사 피해",,,"모든 게이트를 막고, 극딜 준비도 되었다면 웨이브가 시작됐을 때 딜 페이즈가 빠르게 시작되도록 크리스탈을 설치해보세요."
,,,,,,,,,,,02048717,영원한 환생의 불꽃,02048767,검은 환생의 불꽃,,,,,"슬라임이 무거운 방울을 전방으로 휘둘러 내려찍습니다.\\n최대 체력의 20% 피해, 넉백","슬라임이 무거운 방울을 전방으로 휘둘러 내려찍습니다.\\n최대 체력의 50% 피해, 넉백",,,
,,,,,,,,,,,02003587,반짝이는 빨간 별 물약,04023025,꺼지지 않는 불꽃,,,,,슬라임이 방울에서 레이저를 발사합니다.\\n최대 체력의 50% 피해,슬라임이 방울에서 레이저를 발사합니다.\\n최대 체력의 70% 피해,,,
,,,,,,,,,,,02003586,반짝이는 파란 별 물약,04023026,영원히 꺼지지 않는 불꽃,,,,,슬라임이 자기 위치에 점액을 남깁니다.\\n점액 위에 있을 경우 피해를 입으며 슬로우 상태이상에 걸립니다.,슬라임이 자기 위치에 점액을 남깁니다.\\n점액 위에 있을 경우 피해를 입으며 슬로우 상태이상에 걸립니다.,,,
,,,,,,,,,,,02633920,추가 경험치 50% 쿠폰,04023027,영원히 꺼지지 않는 검은 불꽃,,,,,"잡몹 슬라입이 소환됩니다.\\n일반 슬라임 : 최대 체력의 5% 피해\\n자폭 슬라임 : 자폭을 하며 최대 체력의 15% 피해\\n헤일로 슬라임 : 최대 체력의 15% 피해\\n로맨티스트 슬라임 : 최대 체력의 15% 피해, 유혹 상태이상을 겁니다.","잡몹 슬라입이 소환됩니다.\\n일반 슬라임 : 최대 체력의 5% 피해\\n자폭 슬라임 : 자폭을 하며 최대 체력의 15% 피해\\n헤일로 슬라임 : 최대 체력의 15% 피해\\n로맨티스트 슬라임 : 최대 체력의 15% 피해, 유혹 상태이상을 겁니다.",,,
,,,,,,,,,,,02003607,소형 경험 축적의 비약,02003587,반짝이는 빨간 별 물약,,,,,"맵 바닥에 작은 초록빛 기포가 생기고, 폭발합니다.\\n최대 체력의 20% 피해, 슬로우 상태이상에 걸립니다.","맵 바닥에 작은 초록빛 기포가 생기고, 폭발합니다.\\n최대 체력의 20% 피해, 슬로우 상태이상에 걸립니다.",,,
,,,,,,,,,,,,,02003586,반짝이는 파란 별 물약,,,,,"맵에 희미한 녹색 선이 그려지고, 일정 시간이 지난 후 선이 그려진 지역에 레이저가 긴 시간 동안 발사됩니다.\\n틱 당 최대 체력의 10% 피해를 입으며 스턴 상태이상에 걸리는 공격을 최대 6번 받습니다.","맵에 희미한 녹색 선이 그려지고, 일정 시간이 지난 후 선이 그려진 지역에 레이저가 긴 시간 동안 발사됩니다.\\n틱 당 최대 체력의 20% 피해를 입으며 스턴 상태이상에 걸리는 공격을 최대 6번 받습니다.",,,
,,,,,,,,,,,,,02633920,추가 경험치 50% 쿠폰,,,,,,,,,
,,,,,,,,,,,,,02003607,소형 경험 축적의 비약,,,,,중요 기믹,중요 기믹,,,
,,,,,,,,,,,,,02633892,대형 보스 명예의 훈장,,,,,"마그마 슬라임 : 맵에 마그마 슬라임이 소환됩니다.\\n마그마 슬라임은 공중에서 소환되어 바닥을 찍는데, 해당 위치에 플레이어가 있을 경우 슬라임이 사라지며 스턴 상태이상에 걸립니다.\\n마그마 슬라임에게 닿을 때 최대 체력의 5% 피해.","마그마 슬라임 : 맵에 마그마 슬라임이 소환됩니다.\\n마그마 슬라임은 공중에서 소환되어 바닥을 찍는데, 해당 위치에 플레이어가 있을 경우 슬라임이 사라지며 스턴 상태이상에 걸립니다.\\n마그마 슬라임에게 닿을 때 최대 체력의 5% 피해.",,,
,,,,,,,,,,,,,02028409,흑옥의 보스 반지 상자(상급),,,,,"마그마 슬라임 날리기 : 마스코트 게이지가 지속적으로 회복됩니다. NPC/채집 키를 누르면 마스코트 게이지를 소모하며 '마스코트 슬라임의 도움-에너지탄' 스킬을 사용합니다.\\n에너지탄은 현재 보고있는 방향의 대각선 위/아래로 발사 방향을 설정할 수 있고, 방향을 선택하면 마스코트 슬라임이 에너지탄을 발사합니다.\\n에너지탄에 마그마 슬라임이 맞으면 마그마 슬라임이 투사체가 발사된 방향으로 날아갑니다.","마그마 슬라임 날리기 : 마스코트 게이지가 지속적으로 회복됩니다. NPC/채집 키를 누르면 마스코트 게이지를 소모하며 '마스코트 슬라임의 도움-에너지탄' 스킬을 사용합니다.\\n에너지탄은 현재 보고있는 방향의 대각선 위/아래로 발사 방향을 설정할 수 있고, 방향을 선택하면 마스코트 슬라임이 에너지탄을 발사합니다.\\n에너지탄에 마그마 슬라임이 맞으면 마그마 슬라임이 투사체가 발사된 방향으로 날아갑니다.",,,
,,,,,,,,,,,,,02049179,놀라운 긍정의 혼돈 주문서 60%,,,,,"홀리 게이트 막기 : 마그마 슬라임이 맵 벽에 닿으면 사라지고, 홀리 게이트에 닿으면 게이트의 입구를 막습니다.\\n게이트에 마그마 슬라임 3마리가 쌓이면 그 홀리 게이트는 '닫힙니다'.","홀리 게이트 막기 : 마그마 슬라임이 맵 벽에 닿으면 사라지고, 홀리 게이트에 닿으면 게이트의 입구를 막습니다.\\n게이트에 마그마 슬라임 3마리가 쌓이면 그 홀리 게이트는 '닫힙니다'.",,,
,,,,,,,,,,,,,02633916,프리미엄 악세서리 공격력/마력 스크롤,,,,,홀리 게이트 : 홀리 게이트는 4개입니다. 게이트의 위치와 색깔은 정해져 있습니다.\\n2층 : 빨강 / 파랑\\n1층 : 초록 / 보라,홀리 게이트 : 홀리 게이트는 4개입니다. 게이트의 위치와 색깔은 정해져 있습니다.\\n2층 : 빨강 / 파랑\\n1층 : 초록 / 보라,,,
,,,,,,,,,,,,,02633918,매지컬 무기 주문서,,,,,"가디언 웨이브 : 보스 남은시간 기준 27분 20초부터 가디언 웨이브 패턴이 시작됩니다.\\n이 패턴이 시작되면 몬스터가 모두 사라지며 아래층 지형이 열립니다.\\n아래층에도 홀리 게이트가 똑같이 있는데, 아래 홀리 게이트는 색깔의 순서가 랜덤입니다.","가디언 웨이브 : 보스 남은시간 기준 27분 20초부터 가디언 웨이브 패턴이 시작됩니다.\\n이 패턴이 시작되면 몬스터가 모두 사라지며 아래층 지형이 열립니다.\\n아래층에도 홀리 게이트가 똑같이 있는데, 아래 홀리 게이트는 색깔의 순서가 랜덤입니다.",,,
,,,,,,,,,,,,,02633917,프리미엄 펫장비 공격력/마력 스크롤,,,,,"웨이브가 시작된 후, 맵 상단에서 슬라임이 물처럼 흘러 내려옵니다. '닫힌 상태의' 홀리 게이트의 색과 똑같은 색의 게이트에 슬라임이 들어가면 성공입니다.\\n가끔 웨이브에 노란색 슬라임이 나오는데, 노란색 슬라임일 경우 반대로 '안 닫힌' 게이트에 들어가야 합니다.","웨이브가 시작된 후, 맵 상단에서 슬라임이 물처럼 흘러 내려옵니다. '닫힌 상태의' 홀리 게이트의 색과 똑같은 색의 게이트에 슬라임이 들어가면 성공입니다.\\n가끔 웨이브에 노란색 슬라임이 나오는데, 노란색 슬라임일 경우 반대로 '안 닫힌' 게이트에 들어가야 합니다.",,,
,,,,,,,,,,,,,,,,,,,"크리스탈 방울 : 가디언 웨이브 패턴이 진행되는 동안, NPC/채집 키를 눌러 '크리스탈 방울' 을 설치할 수 있습니다. 웨이브 슬라임이 크리스탈 방울에 닿으면 방향을 바꿉니다. 2번 방울에 부딪히면 방울은 사라지며, 발판마다 1개씩만 설치할 수 있습니다.","크리스탈 방울 : 가디언 웨이브 패턴이 진행되는 동안, NPC/채집 키를 눌러 '크리스탈 방울' 을 설치할 수 있습니다. 웨이브 슬라임이 크리스탈 방울에 닿으면 방향을 바꿉니다. 2번 방울에 부딪히면 방울은 사라지며, 발판마다 1개씩만 설치할 수 있습니다.",,,
,,,,,,,,,,,,,,,,,,,"가디언 웨이브 패턴이 종료되면 10초 안에 위 지형으로 돌아가야 합니다. 시간 안에 돌아가지 못 할 경우 죽습니다.\\n패턴을 성공하면 가디언 슬라임은 맵에 나타난 뒤, 15초 동안 그로기 상태가 되며, 이 때 슬라임의 15% 데미지 감소 효과가 적용되지 않으며, 받는 최종 데미지가 10% 증가합니다.","가디언 웨이브 패턴이 종료되면 10초 안에 위 지형으로 돌아가야 합니다. 시간 안에 돌아가지 못 할 경우 죽습니다.\\n패턴을 성공하면 가디언 슬라임은 맵에 나타난 뒤, 15초 동안 그로기 상태가 되며, 이 때 슬라임의 15% 데미지 감소 효과가 적용되지 않으며, 받는 최종 데미지가 10% 증가합니다.",,,
,,,,,,,,,,,,,,,,,,,가디언 웨이브 패턴의 발동 주기는 3분 10초 ~ 3분 15초 정도입니다.,가디언 웨이브 패턴의 발동 주기는 3분 10초 ~ 3분 15초 정도입니다.,,,
