1,14001020,럭키 세븐,액티브,20,행운을 담은 7개의 표창을 던져 전방의 적들을 공격한다.,"MP 14 소비, 표창 2 소비, 최대 5 적을 110%의 데미지로 3 공격",0
1,14001021,엘리멘트 : 다크니스,온오프,10,어둠의 엘리멘트를 소환하여 그 힘을 얻는다.\\n스킬 사용 시 효과가 활성화되고 재사용 시 비활성화되는 온오프 스킬\\n2차 스킬 '다크니스 어뎁팅'을 익히기 위해 10레벨 이상 필요 ,"표창을 사용하는 스킬을 적에게 적중시키면 20% 확률로 최대 2회까지 중첩되는 어둠의 표식 생성, 표식이 새겨진 적은 5초 동안 중첩당 매 초 80%의 도트 데미지를 받고 해당 적을 나이트워커가 공격하면 중첩당 4%만큼 방어율 추가 무시",0
1,14001027,쉐도우 배트,온오프,20,"그림자로 이루어진 종복 쉐도우 배트를 소환한다. 쉐도우 배트는 표창을 사용하는 스킬로 공격할 때 일정 확률로 함께 공격한다. 어둠의 표식이 새겨진 적에게는 공격 확률이 2배가 되고 표식 중첩만큼 소환된 쉐도우 배트가 한 번에 공격하며, 이 때 쉐도우 배트가 1마리 추가로 생성된다.\\n쉐도우 배트는 공격 반사 상태의 적을 공격해도 피해를 입지 않는다. 래버너스 배트와 동시에 사용할 수 없다. 어둠 속성의 공격이다.\\n스킬 사용 시 효과가 활성화되고 재사용 시 비활성화되는 온오프 스킬\\n필요 스킬 : 엘리멘트 : 다크니스 1레벨 이상\\n2차 스킬 '배트 커뮤니온'을 익히기 위해 20레벨 이상 필요","표창을 사용하는 스킬을 3번 적중시킬 때마다 60초 동안 유지되는 쉐도우 배트 1마리 소환, 최대 2마리까지 소환 가능\\n표창을 사용하는 스킬로 공격 시 50% 확률로 날아가 대상에게 150%의 데미지로 공격 후 추가로 3명의 적에게 튕겨 같은 데미지를 입힌 후 소멸, 일반 몬스터 공격 시 데미지 35% 증가\\n첫 데미지를 줄 때 최대 HP의 1% 회복",0
1,14001026,쉐도우 점프,액티브,1,점프 중 사용하면 진행 방향으로 연속 두 번 점프한다. 점프 키로도 사용할 수 있다. 추가로 \\n스로우 계열 스킬의 마지막 공격을 점프키로 취소할 수 있게 된다. 다크 사이트를 배웠고 스로우 계열 스킬의 마지막 공격 중 점프키를 입력했다면 짧은 시간 자동으로 다크 사이트가 적용된다.\\n커스텀 커맨드를 사용하면 점프 중 사용해도 이동하지 않을 수 있다. 커스텀 커맨드 사용 시 좌우 방향키와 함께 사용하면 진행 방향으로 점프할 수 있다.\\nSP를 투자하지 않는 스킬이며 나이트워커로 전직 시 사용할 수 있다.\\n커스텀 커맨드 온오프 : 마우스 우클릭,"MP 5 소비, 일정 거리 점프\\n스로우 계열 스킬 사용 중 점프키 입력 시 2초 동안 다크 사이트 상태\\n자동 발동되는 다크 사이트로 최대 HP의 일정 비율로 피해를 입히는 공격을 회피하였을 경우 다크 사이트의 남은 지속 시간이 최대치의 20% 만큼 감소",0
1,14001023,다크 사이트,버프,5,"일정 시간 동안 그림자에 몸을 숨긴다. 다크 사이트 상태에서는 적에게 부딪히지 않지만 공격을 하면 해제된다. 단, 최대 HP의 일정 비율로 피해를 입히는 공격을 회피하였을 경우 다크 사이트가 해제되었을 때 회피한 횟수에 비례하여 재사용 대기시간이 적용된다. 쉐도우 점프를 사용해도 다크 사이트가 해제되지 않는다. 스킬 키를 한 번 더 눌러 다크 사이트 상태를 해제할 수 있다.","MP 20 소비, 200초 동안 그림자에 몸을 숨김\\n최대 HP의 일정 비율로 피해를 입히는 공격을 회피하였을 경우 다크 사이트가 해제되었을 때 회피한 횟수 당 재사용 대기시간 3초 적용, 최대 5번까지 중첩",0
1,14001024,래피드 이베이젼,액티브,1,후방으로 빠르게 이동한다.\\n공용 스킬을 제외한 자신의 스킬 사용 중에도 이동할 수 있고 이동 중에는 적의 어떠한 공격에도 밀려나지 않는다. 다크 사이트를 배웠고 스로우 스킬 중 사용했다면 짧은 시간 자동으로 다크 사이트가 적용된다.\\nSP를 투자하지 않는 스킬이며 나이트워커로 전직 시 사용할 수 있다.,"MP 7 소비, 후방으로 일정 거리 이동\\n스로우 계열 스킬 사용 중 사용 시 2초 동안 다크 사이트 상태\\n자동 발동되는 다크 사이트로 최대 HP의 일정 비율로 피해를 입히는 공격을 회피하였을 경우 다크 사이트의 남은 지속 시간이 최대치의 20% 만큼 감소",0
1,14000022,헤이스트,패시브,10,"이동속도, 점프력, 최대 이동속도, 회피율을 영구히 증가시킨다.","이동속도 40, 점프력 20, 최대 이동속도 20, 회피율 15% 증가",0
2,14101020,트리플 스로우,액티브,15,[스로우]\\n대상에게 3개의 표창을 연속으로 던진다. 마지막 공격은 어둠의 힘을 담아 더 강력한 어둠 속성의 피해를 입힌다. 표창은 최대 HP가 높은 보스 몬스터를 우선 공격한다.,"MP 20 소비, 표창 3개 소비, 210%의 데미지로 2번, 420%의 데미지로 1번 공격",0
2,14101028,스타더스트,액티브,15,어둠의 힘을 담아 적을 관통하는 강력한 표창을 던진다. 표창은 최대 사정거리에 도달하거나 공격할 수 있는 적을 모두 공격했다면 폭발하여 범위 데미지를 추가로 준다. 어둠 속성의 공격이다.,"MP 20 소비, 최대 6명의 적을 200%의 데미지로 3번 공격하는 수리검 투척, 폭발 시 최대 6명의 적을 200%의 데미지로 3번 공격",0
2,14100023,스로잉 마스터리,패시브,10,아대 숙련도와 데미지를 증가시키며 소지하고 있는 표창의 최대 충전수를 증가시킨다.\\n4차 스킬 '스로잉 엑스퍼트'를 익히기 위해 10레벨 이상 필요 ,"아대 숙련도 50%, 데미지 30%, 표창 수 200 증가",0
